
%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 10:33:53';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

  1, 3, 0.4500, 147.0000,  2, 0.3308,  4, 126.0288, 1, 0,  0.711,  5.134,    6.872
  2, 3, 0.4500, 147.0000,  1, 0.3063,  4, 126.0288, 1, 0,  0.045,  7.348,   15.283
  3, 2, 0.3000, 192.0000,  6, 0.3000,  3, 152.4158, 0, 0,  0.184,  0.507,   16.992
  4, 3, 0.4500, 147.0000,  6, 0.4500,  8, 171.4608, 1, 1,  0.179,  3.588,   21.775
  5, 2, 0.3000, 192.0000,  7, 0.3240,  1, 130.6720, 1, 0,  0.148,  0.492,   23.428
  6, 2, 0.3000, 192.0000, 10, 0.4081,  2, 141.1257, 0, 0,  0.045,  0.793,   25.280
  7, 1, 0.1500, 251.0000,  6, 0.1500, 10, 341.4827, 0, 1,  1.080,  0.573,   27.963
  8, 3, 0.4500, 147.0000,  6, 0.4500, 10, 199.9919, 1, 1,  1.260,  0.533,   30.772
  9, 1, 0.1500, 251.0000,  6, 0.1500,  8, 292.7664, 0, 1,  1.197,  2.863,   35.849
 10, 1, 0.1500, 251.0000,  3, 0.1191,  3, 199.2519, 0, 0,  0.067,  0.381,   37.317
 11, 1, 0.1500, 251.0000, 11, 0.2204,  2, 184.4925, 0, 0,  0.649,  1.113,   40.100
 12, 2, 0.3000, 192.0000, 11, 0.4408,  1, 130.6720, 0, 0,  0.666,  0.631,   42.417
 13, 1, 0.1500, 251.0000,  9, 0.1890,  4, 215.1920, 0, 0,  0.801,  6.288,   50.524
 14, 1, 0.1500, 251.0000,  5, 0.1389,  8, 292.7664, 1, 1,  0.049,  1.722,   53.309
 15, 1, 0.1500, 251.0000,  4, 0.1286,  1, 170.8264, 1, 0,  0.057,  0.227,   54.614
 16, 2, 0.3000, 192.0000,  6, 0.3000,  9, 241.8647, 1, 1,  0.907,  0.464,   57.001
 17, 1, 0.1500, 251.0000,  7, 0.1620, 10, 341.4827, 1, 1,  0.624,  0.308,   58.946
 18, 1, 0.1500, 251.0000,  7, 0.1620,  7, 271.0800, 0, 1,  0.067,  0.922,   60.963
 19, 2, 0.3000, 192.0000,  4, 0.2572,  5, 177.7778, 1, 0,  0.499,  2.229,   64.718
 20, 2, 0.3000, 192.0000,  1, 0.2042,  9, 241.8647, 0, 1,  0.101,  0.158,   65.994
 21, 3, 0.4500, 147.0000, 11, 0.6612,  7, 158.7600, 0, 1,  1.316,  0.249,   68.586
 22, 2, 0.3000, 192.0000,  8, 0.3499,  4, 164.6091, 1, 0,  0.783,  0.557,   70.949
 23, 1, 0.1500, 251.0000,  8, 0.1750,  3, 199.2519, 1, 0,  0.618,  0.373,   72.964
 24, 1, 0.1500, 251.0000,  2, 0.1103,  7, 271.0800, 1, 1,  0.350,  0.165,   74.502
 25, 1, 0.1500, 251.0000,  6, 0.1500,  2, 184.4925, 0, 0,  0.115,  0.191,   75.828
 26, 3, 0.4500, 147.0000,  9, 0.5669, 11, 215.9912, 1, 1,  1.593,  0.124,   78.562
 27, 3, 0.4500, 147.0000,  4, 0.3858, 11, 215.9912, 1, 1,  0.207,  0.528,   80.316
 28, 1, 0.1500, 251.0000,  9, 0.1890,  2, 184.4925, 1, 0,  1.202,  0.416,   82.953
 29, 3, 0.4500, 147.0000,  4, 0.3858,  1, 100.0457, 0, 0,  0.967,  0.496,   85.434
 30, 2, 0.3000, 192.0000,  9, 0.3779,  4, 164.6091, 0, 0,  0.133,  2.086,   88.675
 31, 3, 0.4500, 147.0000,  4, 0.3858,  4, 126.0288, 1, 0,  0.049,  1.220,   90.958
 32, 1, 0.1500, 251.0000,  2, 0.1103,  3, 199.2519, 0, 0,  1.715,  0.336,   94.026
 33, 2, 0.3000, 192.0000, 11, 0.4408,  3, 152.4158, 0, 0,  1.743,  0.899,   97.691
