trial,contrast,angle,stimleft,respleft,correct,rt
1,0.0200,-5.00,0,1,0,0.6797
2,0.0200,5.00,1,1,1,0.3853
3,0.0800,5.00,1,1,1,0.2764
4,0.0600,5.00,1,1,1,0.3521
5,0.0200,5.00,1,1,1,0.4230
6,0.0400,5.00,1,1,1,0.3751
7,0.0600,5.00,1,1,1,0.3583
8,0.0200,-5.00,0,1,0,0.3013
9,0.0600,5.00,1,0,0,0.4656
10,0.0400,-5.00,0,1,0,0.3816
11,0.0800,-5.00,0,0,1,0.3145
12,0.0800,5.00,1,0,0,0.3954
13,0.0800,5.00,1,0,0,0.3607
14,0.0400,-5.00,0,0,1,0.3878
15,0.1600,-5.00,0,0,1,0.2709
16,0.0400,-5.00,0,0,1,0.2936
17,0.0400,-5.00,0,1,0,0.3191
18,0.0600,5.00,1,0,0,0.3559
19,0.1600,5.00,1,1,1,0.3804
20,0.0800,-5.00,0,1,0,0.3405
21,0.0200,-5.00,0,0,1,0.3237
22,0.1600,-5.00,0,0,1,0.2770
23,0.0400,-5.00,0,0,1,0.2610
24,0.0400,5.00,1,0,0,0.4224
25,0.1600,-5.00,0,0,1,0.2548
26,0.0800,-5.00,0,0,1,0.3246
27,0.0800,5.00,1,0,0,0.3048
28,0.0400,5.00,1,0,0,0.2331
29,0.0400,-5.00,0,0,1,0.3192
30,0.0600,-5.00,0,0,1,0.2955
31,0.0400,5.00,1,0,0,0.3067
32,0.1600,-5.00,0,0,1,0.3233
33,0.0600,-5.00,0,0,1,0.2415
34,0.0600,5.00,1,0,0,0.2810
35,0.1600,5.00,1,1,1,0.3670
36,0.0800,5.00,1,1,1,0.3171
37,0.0200,5.00,1,1,1,0.3495
38,0.0400,-5.00,0,1,0,0.2834
39,0.0800,5.00,1,1,1,0.3234
40,0.1600,5.00,1,1,1,0.2724
41,0.0800,5.00,1,1,1,0.3048
42,0.0200,5.00,1,1,1,0.2599
43,0.0400,5.00,1,1,1,0.2816
44,0.0200,5.00,1,1,1,0.3004
45,0.0800,5.00,1,0,0,0.2665
46,0.0800,-5.00,0,0,1,0.2921
47,0.1600,-5.00,0,0,1,0.2587
48,0.0400,5.00,1,0,0,0.2681
49,0.0800,-5.00,0,0,1,0.3095
50,0.0400,5.00,1,0,0,0.3223
51,0.0400,5.00,1,1,1,0.2890
52,0.0200,-5.00,0,0,1,0.2546
53,0.0800,-5.00,0,0,1,0.1719
54,0.0400,5.00,1,0,0,0.2164
55,0.0400,-5.00,0,0,1,0.2613
56,0.0400,-5.00,0,0,1,0.2712
57,0.0400,5.00,1,0,0,0.2348
58,0.1600,5.00,1,1,1,0.2156
59,0.0600,-5.00,0,1,0,0.2967
60,0.0400,-5.00,0,0,1,0.2276
61,0.0200,5.00,1,0,0,0.2484
62,0.0800,-5.00,0,0,1,0.1805
63,0.0200,-5.00,0,1,0,0.3083
64,0.0400,-5.00,0,1,0,0.3336
65,0.0800,5.00,1,0,0,0.2604
66,0.0200,5.00,1,1,1,0.2455
